,과목명,교수명,수업코드,수강후기,평점
0,운영체제론,강경태,22695,꿀강의 맞냐..? 캠 필수에 1시간반 풀강의...거기에 수업 템포도 ㅈㄴ빨라서 진짜 죽을맛이다,3.00
1,운영체제론,강경태,22695,"난 솔직히 내가 열심히해서 에쁠 받았다고 생각함.근데 비대면이어도 수업 다 질문하고 대답하고 했더니시험당일날 문제풀고있는데 오시더니 내이름 부르시면서 시험 풀만하냐, 수업태도가 좋았으니 충분히 다 풀 수 있을거다 하시고 가심.수업 열심히 들은사람은 다 기억하고 계심. 이름을 외우시는가 보니깐.아무튼 꿀과목이기도 하고 나도 열심히해서 합당한 학점 받음 히히",5.00
2,운영체제론,강경태,22695,교수님 강의력 매우 좋으시다 목소리도 좋으시구 성적느님!,5.00
3,운영체제론,강경태,22695,"코로나 터진 학기 초반만 하더라도 컴퓨터전공 최악의 교수님이 될뻔 했으나 같은 과목을 가르치시던 오희국 교수님의 엄청난 행보나(온라인 새벽시험, 엄청난 과제와 진도량)  시스템 프로그래밍,  컴퓨터네트워크 를 가르치시던 은하수 교수님의 잠수 때문에 (시험  당일날 연습문제 제공, 중간고사 이후 강의 업로드 없음 , 기말고사 일주일전 강의 폭탄)  상대적으로 묻힌 감이 있다. 강의 자체는 무난 무난 했으나 가끔씩 심화내용으로 빠지는 부분이 있었음.",3.00
4,운영체제론,강경태,22695,"사이버강의하는데 한달째, 교수의 목소리를 들어본적이 없다ㅎㅎ강의력이 좋으면 뭐하나 본인 연구에 정신팔려서 강의는 조교에게 짬때리고 과제는 챕터1과 요약해오라는식인데ㅋㅋ그 좋은 강의력 이번학기에 구경도 못해봤다.1달동안 1과도 못끝낸게 실환가???수업하려는 의지가 없다. 굉장히 무책임한편. 좋게 봤었지만 이번일로 최악임을 깨달음ㅇㅇㅇ",1.00
5,운영체제론,강경태,22695,"내가제일~ 싫어하는~ PBL~ 수업!다행히 조원을 랜덤으로 정하기 전, 같이 팀이 되고 싶은 사람이 있다면 조교님께 미리 말씀드려 팀을 구성할 수 있게 해주셨고 친한+똑똑한 학우들과 한 팀이 되었다. 진도는 빨리 나갔던것으로 느껴진다. 수요일 10시부터 12시까지 10분정도의 쉬는시간을 제외하고는 '풀강의'였기 때문에 수업을 들으며 거의 모든 내용을 필기하는 나로는 속기사시험을 보는 중인지 수업을 듣는 중인지 알 수 없는 날이 많았다. 수업 PPT에 비해 수업내용은 훨씬 깊은곳까지 들어갔다가 나온다. 고로 PPT만으로 모든 내용을 이해하기는 아주아주 어려울것으로 본다.수업진도나 내용과는 달리 시험은 그닥 어렵지 않은데 이 과목의 강의평들 보고 교과서에 너무너무 어려운 연습문제들 거의 다 공부해서 갔더니 이게 왠걸? 그냥 수업중에 칠판에 적어주신 정도의 수준으로 시험이 출제되었다. 즉, 시험은 그닥 어렵지 않다. PBL과제로는 리눅스 스케줄링 연구 기법에 대해 보고서를 써 제출하는 과제가 나왔는데 다른 PBL과목들과는 달리 발표가 없어 좋았다. 근데... 과제가 도통 뭘 하라는건지 몰라서 어떻게 하면 좋은 점수를 받을지, 교수님의 관심을 끌지 궁리하는데 참 많은 시간을 쓴 것 같다. DB처럼 코드를 짜고 차별화되야하는 이런 과제가 아니라 그냥 있는 점을 정리정도만 깔끔하게 되는 정도의 PBL과제라서 팀원 중 '아.. 내용이 너무 어려워서 저에게 주어진 양을 다못 했습니다..'라고 핑계를 대면 면전에서 욕을 박아도 무죄라고 생각한다. 차마 욕을 못하겠다면 조원평가가 있으니 거기서 물을 뿌려줄수도 있다. 앞서 말했듯 과제의 특성상 사실 굳이 수업을 열심히 들을 필요가 없을 것 같긴하다.. 수업중에 배운 내용을 거의 보고서에는 넣지 않았음....이 과목을 수강하며 굉장히 다행이었던 것이 원래는 PBL 과제를 두 개를 할 뻔 했는데 학생들의 우려와 반발로 결국 PBL과제는 하나로 학기가 마무리되었다. 작년과 같다면 같은 과목을 가르치시는 모 교수님도 계신데 그 분의 강의평을 보면 아마 이 수업이 더 나을것같기는 하다..취득점수 91, 최종점수 97 A+",3.00
6,운영체제론,강경태,22695,갓갓 교수님제가 죄송합니다좀 더 열심히 할걸 어려워서 그냥 놓았는데 시험 쉽게 나와서 반성함평소에 좀 열심히 할걸 싶지만 이제와서 어쩌겠냐 에휴,4.00
7,운영체제론,강경태,22695,"pbl 매우 좋아하심 특정 학과 싫어하심os가 상당히 어렵지만 무조건 알아둬야 하는 부분인데 편하게 가르쳐주신다 나는 이 분 시험방식을 몰라서 우선 다 적느라 많이 놓쳤는데 다른 분들은 필기보다는 듣고 바로 바로 이해하는 걸 추천한다 암기식 시험이 아니라 문제풀이식이다 시험을 떠나서 도움이 되는 내용이 많았다 놓친 걸 살짝 후회한다 근데 그만큼 뻘소리도 많이 하신다진도는 공룡책 1~7강까지 나가시고 다음 임베디드운영체제 강의 때 이어서 뒷 부분을 나간다고 하신다 따라서 이후 임베디드운영체제 강의를 들을 생각이 있다면 타 교수님이 아닌 강경태 교수님의 운영체제 강의를 들어야 한다 그래야 진도도 맞고 흐름이 이어진다이번에는 pbl이라 팀플이 있었다 팀플을 2번 내주려고 하셨으나 시험 전 주에 팀플 하나를 올리시는 바람에 학생들의 강한 반발로 하나만 진행했다. 최대 4인에 자율적으로 구성되며 주제는 매우 간략하다 그 주제에 대해서 보고서를 작성하면 된다 팀원기여도 설문조사는 기말고사 때 함께 진행한다중간고사는 보지 않는다 팀플 대체로 생각하면 될 듯 하다 따라서 기말고사, 팀플, 출석, 블랙보드에 매주 올라오는 토론이 평가 척도이다 이중 팀플이 꽤 비중이 큰 듯 하다 나보다 공부 잘 하는 친구 조는 팀플이 터져서 팀플설문지 점수가 아작이 났는데 반면 나는 팀플이 매우 잘 되었고 결과적으로 내가 그 친구보다 학점이 높게 나왔다타 교수님 운영체제에 비하면 매우 꿀이다 강의 질이야 압도적이고 , 토론은 이 쪽이 보다 귀찮으나 저 쪽은 시험 두 번에 괴랄한 기말 팀플을 준다는 걸 고려하면 이 쪽은 정말 최고다",5.00
8,운영체제론,강경태,22695,OS가 어려운 과목이라는 편견을 깨기 위해서 많은 노력을 하신 부분이 보였다되게 유익했던 과목,5.00
9,운영체제론,강경태,22695,필수라서 어쩔수 없이 듣는 수업 그이상 그이하도 아님교수가 뛰어난것과 강의는 별개,1.00
