,과목번호,과목명,교수명,수업코드,평점
0,0,운영체제론,강경태,22695,3.76
1,1,컴퓨터공학연구실심화실습1,강경태,22697,0.00
2,2,데이터베이스응용,이동호,22699,0.00
3,3,전공진로세미나,이동호,22701,3.50
4,4,컴퓨터공학연구실심화실습3,강경태,22703,0.00
5,5,컴퓨터캡스톤디자인2(종합),강경태,22705,0.00
6,6,컴퓨터네트워크,이석복,22707,4.39
7,7,SW창업캡스톤디자인2,임금순,22709,0.00
8,8,소프트웨어공학,Scott Uk-Jin Lee,22711,3.67
9,9,시스템프로그래밍,은하수,22713,2.44
10,10,임베디드운영체제,강경태,22715,5.00
11,11,시스템보안,이연준,22717,4.50
12,12,모바일컴퓨팅,윤종원,22719,3.75
13,13,딥러닝,정우환,22721,0.00
14,14,멀티미디어정보처리,문영식,22723,3.78
15,15,컴퓨터구조,박성주,22727,4.00
16,16,프로그래밍언어론,이우석,22729,4.27
17,17,디자인소프트웨어실습,송정식,22750,0.00
18,18,가상인터페이스디자인,이지혜,22751,0.00
19,20,디자인마케팅과컨설팅,이지혜,22753,0.00
20,22,피지컬컴퓨팅,최인경,22760,4.30
21,23,인간-컴퓨터시스템설계,경규형,22764,2.38
22,24,게임프로그래밍언어,김기범,22765,2.67
23,25,웰니스디자인,김성권,22766,0.00
24,26,무대공간분석과디자인,조현의,22767,2.00
25,27,피지컬컴퓨팅,최인경,22773,4.30
26,28,웹애플리케이션개발,하민아,22774,0.00
27,30,인간-컴퓨터시스템설계,경규형,22777,2.38
28,31,디지털미디어콘텐츠기획,구자은,22778,0.00
29,32,기계학습,고민삼,22779,0.00
30,33,미디어인포그래픽스,박경하,22780,2.00
31,34,디지털콘텐츠마케팅실습,신동희,22781,0.00
32,35,소셜미디어분석,박현길,22782,0.00
33,36,HCI연구실심화실습1,경규형,22783,0.00
34,37,ICT창업캡스톤디자인2,박창순,22784,0.00
35,38,ICT융합캡스톤디자인1,박종화,22785,2.00
36,39,리빙랩이론과실제,권주영,22786,0.00
37,40,HCI연구실심화실습3,경규형,22787,0.00
38,41,IC-PBL과취창업을위한진로탐색,유제흥,23094,3.86
39,42,논리학(컴퓨터전공),김영훈,23550,3.43
40,43,논리학(컴퓨터전공),김영훈,23551,3.43
41,44,프로그래밍기초,도경구,23552,4.44
42,45,프로그래밍기초,도경구,23553,4.44
43,46,소프트웨어의이해,윤종원,23554,4.29
44,47,인공지능과미래사회,송원선,23556,0.00
45,48,인공지능과미래사회,김현하,23557,0.00
46,49,일반물리학1,장지수,23558,4.76
47,50,일반물리학1,백소연,23559,4.66
48,51,일반물리학실험1,정희준,23560,3.73
49,52,일반물리학실험1,정희준,23561,3.73
50,53,컴퓨터개론,은하수,23562,4.29
51,54,컴퓨터개론,은하수,23563,4.29
52,55,미분적분학1,왕문옥,23564,3.79
53,56,미분적분학1,장우성,23565,4.62
54,57,IC-PBL과비전설계,강경태,23566,0.00
55,58,자료구조론,조성현,23568,4.07
56,59,디지탈논리설계,윤종원,23569,3.67
57,60,학술영어1:통합,Mark David Lloyd,23570,4.89
58,61,오토마타와형식언어론,김태형,23571,3.29
59,62,선형대수,마상백,23572,3.93
60,63,확률론,정우환,23573,3.00
61,64,논리학(컴퓨터전공),조용우,23582,4.58
62,65,논리학(컴퓨터전공),조용우,23583,4.58
63,66,프로그래밍기초,고민삼,23584,4.67
64,67,프로그래밍기초,고민삼,23585,4.67
65,68,창의융합설계,조현의,23586,2.80
66,69,인공지능과미래사회,송원선,23590,0.00
67,70,인공지능과미래사회,김현하,23591,0.00
68,71,일반물리학1,백소연,23592,4.66
69,72,일반물리학1,장지수,23593,4.76
70,73,미분적분학1,홍순필,23594,3.73
71,74,미분적분학1,홍순필,23595,3.73
72,75,IC-PBL과비전설계,경규형,23596,0.00
73,76,감성미학,원혜영,23601,1.80
74,77,MR&미디어,최윤석,23603,4.50
75,78,디자인공학드로잉&2D실습1,오영효,23604,5.00
76,79,자료구조론,최인경,23607,4.40
77,80,오픈소스SW,조용우,23608,4.75
78,81,게임디자인,김기범,23612,1.40
79,82,뮤직테크놀로지,조현의,23613,4.00
80,83,자료구조론,최인경,23617,4.40
81,84,오픈소스SW,조용우,23618,4.75
82,85,공학과심리,김정룡,23620,4.40
83,86,선형대수,권보경,23621,0.00
84,87,융복합미디어개론,이경렬,23622,2.67
85,88,인공지능의이해,김성권,23623,0.00
86,89,자바프로그래밍입문,이원찬,23624,0.00
87,90,논리학(컴퓨터전공),김영훈,23874,3.43
88,91,프로그래밍기초,김현하,23875,4.69
89,92,인공지능과미래사회,최성원,23877,1.13
90,93,일반물리학1,백소연,23878,4.66
91,94,컴퓨터개론,은하수,23879,4.29
92,95,미분적분학1,장우성,23880,4.62
93,96,IC-PBL과비전설계,김영훈,24215,0.00
94,97,IC-PBL과비전설계,김정선,24216,0.00
95,98,IC-PBL과비전설계,김태형,24217,0.00
96,99,IC-PBL과비전설계,도경구,24218,0.00
97,100,IC-PBL과비전설계,마상백,24219,5.00
98,101,IC-PBL과비전설계,문영식,24220,0.00
99,102,IC-PBL과비전설계,박성주,24221,0.00
100,103,IC-PBL과비전설계,오희국,24222,0.00
101,104,IC-PBL과비전설계,윤종원,24223,5.00
102,105,IC-PBL과비전설계,은하수,24224,0.00
103,106,IC-PBL과비전설계,이동호,24225,5.00
104,107,IC-PBL과비전설계,이석복,24226,5.00
105,108,IC-PBL과비전설계,이연준,24227,0.00
106,109,IC-PBL과비전설계,이우석,24228,5.00
107,110,IC-PBL과비전설계,Scott Uk-Jin Lee,24229,0.00
108,111,IC-PBL과비전설계,조성현,24230,0.00
109,112,학술영어1:통합,Douglas J. Scott,24526,4.18
