1,수업코드,text,교과목명
[],20002,,AI+X:인공지능
"['딥러닝', '개념', '이해', '딥러닝', '실험', '개발환경', '조성', '활용', '기초', '소개', '순서', '진행', '딥러닝', '인공지능', '개념', '딥러닝', '환경조성', '오픈소스', '프로젝트', '예제', '딥러닝방법론', '텔레콤', '인공지능', '딥러닝', '연구', '사례', '교육', '자료', '병행', '동영상', '발표', '자료', '인공지능', '교육', '동영상', '병행', '계획', '세부', '내역', '잠정', '일부', '항목', '변동', '한양대학교', 'SK텔레콤', '교육', '과정', '협업', 'SK텔레콤', '인공지능', '딥러닝', '연구', '최신', '자료', '일부', '활용', '진행', '일부', '아마존', '서비스', '이용', '과제', '예정', 'HY-Live플러스', '진행', '예정', '오프라인', '병행', '오프라인', '원칙', '변화', '공지', '교양', '핵심', '교양', '정도', '일반', '교양', '로드', '예상', '선택', '현명', '판단', '프로젝트', '대체', '가능', '공지']",20003,"본 교과목은 딥러닝을 개념을 이해하고, 딥러닝을 실험해 볼 수 있는 개발환경 조성과 활용에 관한 기초를 소개한다. 이를 위하여 다음과 같은 순서로 진행된다.  1. 딥러닝을 위한 인공지능(AI) 관련 개념 (Agent, Searching, Learning 등) 2. 딥러닝을 위한 환경조성 및 관련 오픈소스 프로젝트 예제 3. 딥러닝방법론 (Neural Network, Convolutional Networks 등) 4. SKT 텔레콤 인공지능-딥러닝 연구 사례 및 교육자료 병행 (동영상, 발표자료) 5. SKT 인공지능 교육 동영상 시청이 병행되어야 함 강의 계획 세부 내역은 현재 잠정적이며, 일부 항목은 변동이 있을 수가 있습니다. 본 교과목은 한양대학교와 SK텔레콤의 교육과정협업을 통해 SK텔레콤 인공지능-딥러닝 연구진의 최신 강의자료를 일부를 활용하여 진행된다. 또한 일부 아마존의 AWS의SageMaker 서비스를 이용한 과제가 예정되어있습니다. HY-Live플러스 로 수업이 진행될 예정이며 상황에 따라 온라인/오프라인 수업이 병행될 것으로 보입니다 (오프라인이 원칙). 코로나 상황에 따른 상황변화가 있을수있는점 공지합니다. 교양강의이나 ""핵심""교양 과목으로 어느정도의 일반 교양보다는 좀 더 많은 학습량과 수업로드가 있을 것으로 예상되니, 과목 선택에 현명한 판단 바랍니다. 상황에 따라 프로젝트는 기말고사등으로 대체될 가능성이 있는 점도 미리 공지합니다. ",AI+X:딥러닝
"['데이터', '사이언스', '기초', 'R프로그래밍', '파이썬', '프로그램', '기초', '목적', '이전', '실무', '데이터', '분석', '프로세스', '중점', '과정', '플립', '러닝', '시간', '오프라인', '시간', '진행', '제공', 'e-Learning콘텐츠', '선수', '강의실', '콘텐츠', '수강', '오프라인', '교수자', '텔레프레즌스', '진행', '실습', '위주', '대면', '병행', '파이썬', '프로그램', '플랫', '빅데이터', '이용', '파이썬', '패키지', '활용', '빅데이터', '머신러닝', '기초', '특성', '교양', '정도', '수준', '기초통계학', '수준', '지식', '필요']",20004,"본 교과목은 데이터 사이언스 및 AI 과목에 기초가 되는 R프로그래밍 및 파이썬 프로그램의 기초를 배우는 것을 목적으로 한다. 이전학기와 달리 실무데이터 분석을 위한 프로세스를 중점적으로 다룬다. 본 과정은 Smart-f플립러닝(Flipped Learning : 온라인 1시간, 오프라인 2시간)  유형으로 진행됨 온라인 수업 : 온라인에서 제공되는 e-Learning콘텐츠를 선수학습 해야 함 (강의실 출석은 하지 않으나 콘텐츠는 반드시 수강하여야 출석에 반영됨) 오프라인 수업 : 교수자의 텔레프레즌스 강의로 진행됨(실습 위주) 2020년 2학기는 대면과 비대면 수업을 병행수행 - R 및 파이썬 프로그램을 통해 다양한 플랫폼의 빅데이터를 이용할 수 있도록 한다. - R 및 파이썬 패키지 활용을 통해 빅데이터 처리 및 머신러닝의 기초를 학습한다. -과목 특성상 전공과 교양수업의 중간 정도 수준의 학습량을 요한다. -기초통계학 수준의 지식이 필요하다. ",AI+X:R-Py컴퓨팅
"['머신러닝', '이해', '사례', '예제', '중심', '머신러닝', '원리', '이해', '사례', '예제', '파이썬', '이용', '실습', '진행', '학생', '개별', '편차', '고려', '실습', '구글', '활용', '수강', '인터넷', '연결', '가능', '개별', '가능', '머신러닝', '이해', '관점', '사용법', '케라스', '머신러닝', '경험', '획득', '데이터', '모델', '자동', '생성', '기반', '미래', '예측', '기술', '머신러닝', '개념', '원리', '알고리즘', '이해', '실제', '사례', '예제', '중심', '머신러닝', '활용', '방법', '습득', '문제', '해결', '능력', '배양', '플립', '러닝', '시간', '실시간', '화상강의', '대면', '시간', '진행', '제공', 'e-Learning콘텐츠', '선수', '콘텐츠', '수강', '실시간', '화상강의', '이용', '실시간', '진행', '내외', '대면', '교수자', '텔레프레즌스', '진행', '내외', '방식', '과제', '개인', '과제', '과제', '기준', '해당', '과제', '실습', '공지', '과제', '성취도', '상대', '만점', '최고점', '최저', '점간', '편차', '이상', '점수', '부여', '대면', '오프라인', '머신러닝', '원리', '이론', '이해도', '만점', '시작', '이후', '입실', '질문', '답변', '활동', '가점', '부여']",20005,"본 교과목은 머신러닝의 이해를 돕기 위한 사례 예제 중심으로 학습한다. 머신러닝의 원리를 이해하고 사례나 예제를 학습하기 위해 파이썬을 이용하여 실습을 진행한다. 이를 위해 학생 개별 PC의 편차를 고려해서 실습은  구글colaboratory를 활용하며, 수강생은 인터넷 연결이 가능한 곳에서 개별 PC로 학습이 가능하다. 본 수업은 머신러닝의 이해라는 관점에서 보다 사용법이 쉬운 것으로 알려져 있는 scikit-learn과 케라스를 학습에 사용한다. 머신러닝은 경험으로부터 획득한 데이터로부터 모델을 자동으로 생성하고 이를 기반으로 미래를 예측하는 기술이다. 본 교과목은 머신러닝의 기본 개념과 원리, 다양한 학습 알고리즘에 대한 이해를 돕는 것을 목표로 하며 실제 사례 예제 중심으로 머신러닝의 활용 방법을 습득하고 문제해결 능력을 배양한다.  본 교과목은 Smart-f플립러닝(Flipped Learning : 온라인 녹화강의 1시간, 실시간 화상강의 또는 대면강의 2시간) 유형으로 진행된다. - 온라인 녹화강의 : 온라인에서 제공되는 e-Learning콘텐츠를 선수 학습 해야 함(온라인 콘텐츠는 반드시 수강하여야 출석에 반영됨) - 실시간 화상강의 : Zoom을 이용한 비대면 실시간 강의로 진행됨(6~8주 내외) - 대면강의 : 교수자의 텔레프레즌스 강의로 진행됨(6~8주 내외) 본 교과목의 평가방식은 다음과 같다. - 과제(50%)  ∘ 개인별로 총 8개 과제를 수행함  ∘ 과제별 평가기준은 해당 과제와 관련된 실습 시 공지함  ∘ 과제별 성취도를 상대평가(10점 만점)하며, 최고점과 최저점간 편차가 6점 이상이 되게 점수를 부여함 - 기말고사(35%)  ∘ 대면(오프라인) 시험을 통해 머신러닝의 원리 및 이론에 대한 이해도를 평가함 - 학습참여도(15%)  ∘ 출석 및 학습참여도를 15점 만점으로 평가함  ∘ 결석 1회 당 1점 감점, 지각 1회 당 0.3점 감점함  ∘ 수업 시작 10분 이후 입실 시 결석 처리함  ∘ 질문, 답변 등 학습참여 활동에 대해 0.1~0.5점의 가점을 부여함",AI+X:머신러닝
"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']",20013,"본 강좌는 중국어 입문 과정을 끝낸 초급 학습자를 대상으로 하는 수업이며 초급에서 중급에 진입하는 수준의 학생에게 적합한 수업이다. 일상생활과 관련된 주제: 생일축하, 병원, 컴퓨터, 환전, 호텔 등의 상황 및 장소에서 활용 가능한 핵심 실용회화를 위주로 내용이 구성되며 실시간 화상 강의로 매주 1회, 2시간 강의를 진행하며, 총 2학점 배정된다.  일상생활 및 활용도가 높은 실제 상황 및 장소를 바탕으로 실용회화를 학습하여 향후 비슷한 상황에서 중국어를 활용할 수 있도록 하는 것을 목표로 한다.  ",실용중국어
"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']",20014,"본 강좌는 중국어 입문 과정을 끝낸 초급 학습자를 대상으로 하는 수업이며 초급에서 중급에 진입하는 수준의 학생에게 적합한 수업이다. 일상생활과 관련된 주제: 생일축하, 병원, 컴퓨터, 환전, 호텔 등의 상황 및 장소에서 활용 가능한 핵심 실용회화를 위주로 내용이 구성되며 실시간 화상 강의로 매주 1회, 2시간 강의를 진행하며, 총 2학점 배정된다.일상생활 및 활용도가 높은 실제 상황 및 장소를 바탕으로 실용회화를 학습하여 향후 비슷한 상황에서 중국어를 활용할 수 있도록 하는 것을 목표로 한다. ",실용중국어
"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']",20015,"본 강좌는 중국어 입문 과정을 끝낸 초급 학습자를 대상으로 하는 수업이며 초급에서 중급에 진입하는 수준의 학생에게 적합한 수업이다. 일상생활과 관련된 주제: 생일축하, 병원, 컴퓨터, 환전, 호텔 등의 상황 및 장소에서 활용 가능한 핵심 실용회화를 위주로 내용이 구성되며 실시간 화상 강의로 매주 1회, 2시간 강의를 진행하며, 총 2학점 배정된다. 일상생활 및 활용도가 높은 실제 상황 및 장소를 바탕으로 실용회화를 학습하여 향후 비슷한 상황에서 중국어를 활용할 수 있도록 하는 것을 목표로 한다. ",실용중국어
"['6시그마', '국내외', '제조업', '서비스업', '공공', '기관', '학교', '기업', '채택', '경영혁신활동', '추진', '동력', '핵심', '6시그마', '전문인력', '6시그마', '그린벨트', '과정', '학생', '진출', '비지니스', '사회', '필요', '창의', '열정', '문제', '해결', '전문가', '양성', '이론', '실무', '병행', '종합', '기업혁신현황', '이해', '국내외', '핵심', '기업', '다양', '최근', '실제', '추진', '사례', '문제', '해결', '전문가', '단계', '사례', '중심', '이론', '구성', '학교', '일상생활', '문제', '해결', '프로젝트', '활동', '문제해결능력', '배가', '방법', '문제', '해결', '전문가', '단계', '사례', '중심', '이론', '구성', '학교', '일상생활', '문제', '해결', '프로젝트', '활동', '문제해결능력', '배가', '실제', '기업혁신현황', '이해', '방법', '국내', '우수', '기업', '외부', '초정', '강연', '병행', '진행', '프로젝트', '활동', '과정', '결과물', '근거', '종합', '과정', '이수', '우수', '학생', '인증서', '취득', '긍정', '사고', '열정', '혁신', '마인드', '6시그마', '이론', 'DMAIC5단계', '흐름', '구체', '방법', '체득', '기업', '진정', '요구', '인재', '양성', '기업', '경쟁력', '강화', '경영', '철학', '6시그마', '원리', '자료', '분석', '미니', '소프트웨어', '응용', '능력', '함양', '문제', '해결', '방법', '과정', '터득', '내용', '요약', '이론교육', '미니탭실습', '프로젝트', '활동', '원격수업', '진행', '기말시험', '대면', '실시']",20016,"6시그마는 국내외 제조업, 서비스업, 공공기관, 학교 등 모든 기업에서 채택하고 있는 경영혁신활동이며, 그 추진동력의 핵심은 6시그마 전문인력에 있다. 따라서 6시그마 그린벨트(Green Belt)과정은 학생들이 진출해야 할 비지니스 사회에서 필요한 창의적이고 열정적인 문제해결 전문가(GB)를 양성하고자 이론과 실무를 병행한 종합적인 학습을 하게 된다. 먼저 기업혁신현황을 이해하기 위한 방안으로 국내외 핵심기업의 다양한 최근 실제 추진사례를 학습한다. 또한 문제해결 전문가로서 반드시 알아야 할 D-M-A-I-C 5단계를 사례중심의 이론 학습을 하면서, 팀(5-6명)을 구성하여 학교 및 일상생활의 문제를 해결하는 프로젝트 활동을 수행하여 문제해결능력을 배가시킨다.  학습방법은 문제해결 전문가로서 반드시 알아야 할 DMAIC5단계를 사례중심의 이론학습을 하면서, 팀(5-6명)을 구성하여 학교 및 일상생활의 문제를 해결하는 프로젝트 활동을 수행하여 문제해결능력을 배가시킨다. 또한 실제 기업혁신현황을 이해하기 위한 방법으로 국내 우수기업의 외부 초정강연을 병행하여 진행한다. 성적은 프로젝트 활동과정 및 결과물, 출석, 시험 등을 근거로 종합적으로 평가한다. 또한 이 과정을 이수한 우수학생은 `GB 인증서`를 취득하게 된다. 긍정적사고와 열정을 갖는 진정한 혁신마인드를 키우고, 6시그마 기본이론과 DMAIC5단계의 수행흐름과 구체적인 방법을 체득함으로써 기업에서 진정으로 요구하는 인재를 양성 한다.  기업의 경쟁력을 강화하기 위한 경영철학인 6시그마의 기본 원리를 배우고, 자료 분석을 위한 미니탭 소프트웨어의 응용 능력을 함양하고, 문제 해결 방법인 DMAIC 과정을 터득한다. (수업내용 요약) 1.이론교육 2.미니탭실습 3.팀_프로젝트 활동  (수업형태) 원격수업으로 진행되며, 기말시험은 대면으로 실시됩니다.",6시그마GB(클러스터)
"['오늘날', '디자인', '이해', '디자인', '무엇', '세분', '사회문화', '트렌드', '소비자', '디자인', '적용', '기술', '방법', '연구', '디지털시대', '컨텐츠', '경험', '부가', '차별', '접근', '마케팅전략', '필요', '현대사회', '디자인', '역할', '기능', '이해', '분야', '디자인', '사례', '활용방안', '모색', '디자인', '제품', '서비스', '혁신', '사례', '혁신', '사고방법', '원리', '과거', '미래', '디자인', '모습', '혁신', '사례', '프로젝트', '제안', '이론', '진행', '중간고사', '대면', '진행', '이론', '위주', '진행', '팀프로젝트', '실시간', '진행', '외부초청강사', '진행', '응답', '블랙보드', '활용', '이용', '실시간', '변동', '공지']",20017,"오늘날 디자인의 올바른 이해를 위해 디자인이 무엇인지 세분화하여 알아보고 사회문화의 트렌드와 소비자를 읽어 디자인에 적용할 수 있는 기술과 방법을 연구한다. 디지털시대에 맞는 컨텐츠와 경험을 부가하고 차별적으로 접근할 수 있는 마케팅전략을 필요로 하는 현대사회에서 디자인의 역할과 기능을 이해하고 각 분야별 디자인의 사례를 살펴보고 활용방안을 모색한다. 또한 디자인을 통한 제품 및 서비스의 혁신사례를 살펴보고 이로부터 혁신적인 사고방법과 원리를 학습하며 과거, 현재, 미래의 디자인의 모습을 살펴보고 팀별 혁신사례를 프로젝트화 하여 제안할 수 있도록 한다. 이론 수업으로 100% 원격(비대면)수업으로 진행되며, 중간고사 시 대면으로 진행된다. 이론 강의 시 녹화강의 위주로 진행되며, 팀프로젝트 수행 시 온라인 실시간 수업(zoom)으로 진행된다. 또한 외부초청강사 2회 수업이 있으며 녹화강의로 진행되고 질의응답은 온라인(블랙보드 활용)을 이용한다. 대면/온라인실시간 수업 변동이 있을 수 있으며, 미리 공지토록 한다.",디자인과혁신(클러스터)
"['기업', '현장', '요구', '직무소양', '기술', '개발', '품질향상', '절대', '요소', '기술', '이해', '현장', '응력', '개설', '내용', '국가', '운영', '재료', '환경시험', '에너지', '효율', '전자파시험', '기술', '절차', '소개', '교과', '수강', '대상', '이공계', '학부', '위주', '진행', '학생', '품질', '인증', '기술', '이해', '수강', '내용', '이해', '주제', '품질관리', '국제', '합성', '시스템', '해외', '인증', '제도', '이해', '인증', '제품', '요건', '이해', '주제', '전자파시험', '전자파', '국내', '인증', '해외', '인증', '제도', '이해', '이해', '주제', '환경시험', '기후', '변화', '기후', '변화', '협약', '체계', '이해', '환경', '과정', '이해', '주제', '에너지효율표시및표준', '에너지', '전망', '에너지효율표시및표준', '제도', '에너지', '에너지', '전망', '이해', '주제', '기업', '이해', '특강', '기업', '실제', '활동', '이해']",20018,"1. 기업현장에서 요구하는 다양한 직무소양이 있으나 기술개발과 품질향상에 절대적인 요소인 시험, 평가기술을 이해하고 현장 적응력을 높이고자 본 과목을 개설함. 2. 강의 내용으로는 국가에서 운영하는 재료시험, 환경시험, 에너지효율 시험 및 전자파시험에 대한 기술 및 절차들을 소개한다 3. 본 교과 수강 대상은 이공계학부 3, 4학년을 위주로 진행한다. 가. 수업목표 : 학생들은 품질인증 및 시험평가기술의 이해를 수강한 후, 다음의 내용을 이해할 수 있어야 한다.   1) 주제 1 (품질관리) ; 국제 적합성평가시스템 및 해외인증 제도를 이해한다. 인증 및 제품시험 요건에 대해 이해한다.  2) 주제 2 (전자파시험) ; 전자파 관련 국내인증 및 해외인증 제도를 이해한다. EMC, EMF, EMP 시험에 대해 이해할 수 있다. 3) 주제 3 (환경시험) ; 기후변화와 기후변화협약 체계를 이해한다. 환경전과정평가에 대해 이해한다.  4) 주제 4 (에너지효율표시및표준) ; 에너지 전망, 에너지효율표시및표준 제도, 에너지 평가, 에너지 전망 등을 이해 한다. 5) 주제 5 (기업의이해) ; CEO 특강을 통해 기업의 실제 활동을 이해 할 수 있다.",품질인증및시험·평가기술의이해(클러스터)
