,1
0,[]
1,"['딥러닝', '개념', '이해', '딥러닝', '실험', '개발환경', '조성', '활용', '기초', '소개', '순서', '진행', '딥러닝', '인공지능', '개념', '딥러닝', '환경조성', '오픈소스', '프로젝트', '예제', '딥러닝방법론', '텔레콤', '인공지능', '딥러닝', '연구', '사례', '교육', '자료', '병행', '동영상', '발표', '자료', '인공지능', '교육', '동영상', '병행', '계획', '세부', '내역', '잠정', '일부', '항목', '변동', '한양대학교', 'SK텔레콤', '교육', '과정', '협업', 'SK텔레콤', '인공지능', '딥러닝', '연구', '최신', '자료', '일부', '활용', '진행', '일부', '아마존', '서비스', '이용', '과제', '예정', 'HY-Live플러스', '진행', '예정', '오프라인', '병행', '오프라인', '원칙', '변화', '공지', '교양', '핵심', '교양', '정도', '일반', '교양', '로드', '예상', '선택', '현명', '판단', '프로젝트', '대체', '가능', '공지']"
2,"['데이터', '사이언스', '기초', 'R프로그래밍', '파이썬', '프로그램', '기초', '목적', '이전', '실무', '데이터', '분석', '프로세스', '중점', '과정', '플립', '러닝', '시간', '오프라인', '시간', '진행', '제공', 'e-Learning콘텐츠', '선수', '강의실', '콘텐츠', '수강', '오프라인', '교수자', '텔레프레즌스', '진행', '실습', '위주', '대면', '병행', '파이썬', '프로그램', '플랫', '빅데이터', '이용', '파이썬', '패키지', '활용', '빅데이터', '머신러닝', '기초', '특성', '교양', '정도', '수준', '기초통계학', '수준', '지식', '필요']"
3,"['머신러닝', '이해', '사례', '예제', '중심', '머신러닝', '원리', '이해', '사례', '예제', '파이썬', '이용', '실습', '진행', '학생', '개별', '편차', '고려', '실습', '구글', '활용', '수강', '인터넷', '연결', '가능', '개별', '가능', '머신러닝', '이해', '관점', '사용법', '케라스', '머신러닝', '경험', '획득', '데이터', '모델', '자동', '생성', '기반', '미래', '예측', '기술', '머신러닝', '개념', '원리', '알고리즘', '이해', '실제', '사례', '예제', '중심', '머신러닝', '활용', '방법', '습득', '문제', '해결', '능력', '배양', '플립', '러닝', '시간', '실시간', '화상강의', '대면', '시간', '진행', '제공', 'e-Learning콘텐츠', '선수', '콘텐츠', '수강', '실시간', '화상강의', '이용', '실시간', '진행', '내외', '대면', '교수자', '텔레프레즌스', '진행', '내외', '방식', '과제', '개인', '과제', '과제', '기준', '해당', '과제', '실습', '공지', '과제', '성취도', '상대', '만점', '최고점', '최저', '점간', '편차', '이상', '점수', '부여', '대면', '오프라인', '머신러닝', '원리', '이론', '이해도', '만점', '시작', '이후', '입실', '질문', '답변', '활동', '가점', '부여']"
4,"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']"
5,"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']"
6,"['강좌', '중국어', '입문', '과정', '초급', '대상', '초급', '중급', '진입', '수준', '학생', '일상', '생활', '주제', '생일', '축하', '병원', '컴퓨터', '환전', '호텔', '장소', '활용', '가능', '핵심', '실용', '회화', '위주', '내용', '구성', '실시간', '화상', '시간', '진행', '학점', '배정', '일상생활', '활용', '실제', '장소', '바탕', '실용', '회화', '향후', '중국어', '활용']"
7,"['6시그마', '국내외', '제조업', '서비스업', '공공', '기관', '학교', '기업', '채택', '경영혁신활동', '추진', '동력', '핵심', '6시그마', '전문인력', '6시그마', '그린벨트', '과정', '학생', '진출', '비지니스', '사회', '필요', '창의', '열정', '문제', '해결', '전문가', '양성', '이론', '실무', '병행', '종합', '기업혁신현황', '이해', '국내외', '핵심', '기업', '다양', '최근', '실제', '추진', '사례', '문제', '해결', '전문가', '단계', '사례', '중심', '이론', '구성', '학교', '일상생활', '문제', '해결', '프로젝트', '활동', '문제해결능력', '배가', '방법', '문제', '해결', '전문가', '단계', '사례', '중심', '이론', '구성', '학교', '일상생활', '문제', '해결', '프로젝트', '활동', '문제해결능력', '배가', '실제', '기업혁신현황', '이해', '방법', '국내', '우수', '기업', '외부', '초정', '강연', '병행', '진행', '프로젝트', '활동', '과정', '결과물', '근거', '종합', '과정', '이수', '우수', '학생', '인증서', '취득', '긍정', '사고', '열정', '혁신', '마인드', '6시그마', '이론', 'DMAIC5단계', '흐름', '구체', '방법', '체득', '기업', '진정', '요구', '인재', '양성', '기업', '경쟁력', '강화', '경영', '철학', '6시그마', '원리', '자료', '분석', '미니', '소프트웨어', '응용', '능력', '함양', '문제', '해결', '방법', '과정', '터득', '내용', '요약', '이론교육', '미니탭실습', '프로젝트', '활동', '원격수업', '진행', '기말시험', '대면', '실시']"
8,"['오늘날', '디자인', '이해', '디자인', '무엇', '세분', '사회문화', '트렌드', '소비자', '디자인', '적용', '기술', '방법', '연구', '디지털시대', '컨텐츠', '경험', '부가', '차별', '접근', '마케팅전략', '필요', '현대사회', '디자인', '역할', '기능', '이해', '분야', '디자인', '사례', '활용방안', '모색', '디자인', '제품', '서비스', '혁신', '사례', '혁신', '사고방법', '원리', '과거', '미래', '디자인', '모습', '혁신', '사례', '프로젝트', '제안', '이론', '진행', '중간고사', '대면', '진행', '이론', '위주', '진행', '팀프로젝트', '실시간', '진행', '외부초청강사', '진행', '응답', '블랙보드', '활용', '이용', '실시간', '변동', '공지']"
9,"['기업', '현장', '요구', '직무소양', '기술', '개발', '품질향상', '절대', '요소', '기술', '이해', '현장', '응력', '개설', '내용', '국가', '운영', '재료', '환경시험', '에너지', '효율', '전자파시험', '기술', '절차', '소개', '교과', '수강', '대상', '이공계', '학부', '위주', '진행', '학생', '품질', '인증', '기술', '이해', '수강', '내용', '이해', '주제', '품질관리', '국제', '합성', '시스템', '해외', '인증', '제도', '이해', '인증', '제품', '요건', '이해', '주제', '전자파시험', '전자파', '국내', '인증', '해외', '인증', '제도', '이해', '이해', '주제', '환경시험', '기후', '변화', '기후', '변화', '협약', '체계', '이해', '환경', '과정', '이해', '주제', '에너지효율표시및표준', '에너지', '전망', '에너지효율표시및표준', '제도', '에너지', '에너지', '전망', '이해', '주제', '기업', '이해', '특강', '기업', '실제', '활동', '이해']"
