1,수업코드,text,교과목명
"['운영체제', '원리', '개념', '이해', '운영체제', '제공', '서비스', '이해', '운영체제', '설계', '구현', '이슈']",22695, 운영체제의 기본 원리와 개념을 이해하기 위한 교과목이다.  운영체제가 제공하는 다양한 서비스를 이해하고 운영체제의 설계 및 구현 이슈에 대해 살펴본다 ,운영체제론
"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']",22697,"사이버피지컬시스템 연구실에서 수행하는 연구의 철학과 방향에 대하여 이해  1) 컴퓨터 시스템의 성능을 개선하고 컴퓨팅의 신뢰성을 제고하기 위한 프로세스 스케줄링 기술, 입출력 최적화, 파일시스템 스토리지, 결함허용 기법들을 High-Level에서 이해 2) 소정의 인턴비 지급",컴퓨터공학연구실심화실습1
"['데이터베이스', '응용', '빅데이터', '데이터사이언스', '이론', '다양', '실제', '빅데이터', '다양', '속성', '특징', '효과', '분석', '방법', '학생', '빅데이터', '생성', '특징', '분석', '유의', '빅데이터', '분석', '필요', '확률', '통계', '수학', '이론', '학생', '빅데이터', '수집', '분석', '시각', '능력', '배양', '파이썬', '프로그래밍', '스킬', '데이터사이언스', '필요', '데이터', '수집', '전처리', '분석', '시각화', '방법', '습득', '데이터사이언스', '필요', '코딩', '기술', '습득']",22699,"데이터베이스응용 교과목은 빅데이터 및 데이터사이언스에 대한 기본적인 이론과 다양한 실제를 다룬다. 빅데이터의 다양한 속성과 특징, 그리고 효과적으로 분석하는 방법 등을 살펴본다. 이 과목을 통해서 학생들은 빅데이터들이 어떻게 생성되고 어떤 특징을 갖고 있는지뿐만 아니라 분석시 어떤 점에 유의해야 하는지를 배울 것이다. 또한, 빅데이터를 분석하는데 반드시 필요한 확률과 통계와 같은 수학 이론을 살펴본다. 더 나아가 학생들로 하여금 빅데이터를 직접 수집, 처리, 분석, 및 시각화할 수 있는 능력을 배양하기 위하여 충분한 양의 SQL과 파이썬 프로그래밍 스킬을 배운다.  1. 데이터사이언스에 필요한 데이터 수집 및 전처리, 다양한 분석 및 시각화 방법 습득  2. 데이터사이언스에 필요한 충분한 양의 코딩 기술 습득",데이터베이스응용
"['진로탐색', '세미나', '진행', '취업', '산업체', '인사', '특강', '창업', '산학', '중점', '교수', '진학', '전공교수', '연구', '분야', '소개', '컴퓨터', '분야', '다양', '진로', '탐색', '상담', '시간', '학생', '진로선택', '도움']",22701, 전공과 관련된 진로 탐색 세미나 진행  - 취업 ( 관련 산업체 인사 특강)  - 창업 (산학중점교수 강의)  - 진학 (전공 교수님 연구 분야 소개)  컴퓨터 SW 분야의 다양한 진로에 대한 탐색 및 상담 시간을 통하여 학생들 진로 선택에 도움을 주기 위함 ,전공진로세미나
"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']",22703,"사이버피지컬시스템 연구실에서 수행하는 연구의 철학과 방향에 대하여 이해  1) 컴퓨터 시스템의 성능을 개선하고 컴퓨팅의 신뢰성을 제고하기 위한 프로세스 스케줄링 기술, 입출력 최적화, 파일시스템 스토리지, 결함허용 기법들을 High-Level에서 이해 2) 소정의 인턴비 지급",컴퓨터공학연구실심화실습3
"['공학인증종합설계', '컴퓨터', '캡스톤디자인', '연장', '지도', '교수', '정기', '미팅', '설계', '방법', '작품', '구현', '내용', '추가', '최근', '기술', '동향', '파악', '세미나', '참석', '요구', '참석', '여부', '최종', '목적', '단위', '소프트웨어개발', '프로젝트', '상품화수준', '소프트웨어개발', '소프트웨어', '품질보장방법', '소프트웨어', '품질', '보장', '소프트웨어개발', '산출물', '요구사항분석', '설계문서', '구현', '노트', '검증방법', '소프트웨어', '소스', '코드', '디버깅', '테스트', '검증방법', '소프트웨어개발', '산출물', '효율', '유지보수방법', '습득', '컴퓨터공학', '학생', '산업체', '요구', '능력', '배양', '학부', '이론', '바탕', '공동', '작품', '설계', '해결', '기법', '함양']",22705,"본 교과목은공학인증종합설계 과목으로,컴퓨터캡스톤디자인1의연장교과목입니다.  지도교수와의 정기적인미팅으로설계방법을 익히면서작품을구현하는것을주내용으로 합니다.  추가로최근관련기술동향을파악하기 위하여세미나참석이요구될 수있으며,참석여부는 최종성적에 반영됩니다.  본 과목의 목적은 팀 단위 소프트웨어 개발 프로젝트를 직접 수행해 봄으로써, 상품화 수준의 소프트웨어 개발을 위한 다양한 소프트웨어 품질 보장 방법을 배우는 것이다. 소프트웨어 품질을 보장하기 위하여 소프트웨어 개발의 산출물인 요구 사항 분석 및 설계 문서, 구현 노트에 대한 검증 방법과 소프트웨어 소스 코드의 디버깅/테스트/검증 방법을 배운다. 또한, 소프트웨어 개발 산출물에 대한 효율적인 유지 보수 방법을 습득하도록 한다.본 과목을 통하여 컴퓨터공학을 전공하는 학생들은 산업체에서 요구하는 능력을 배양하기 위해 학부에서 배운 이론을 바탕으로 공동으로 작품을 설계하고 해결하는 기법을 함양한다.",컴퓨터캡스톤디자인2(종합)
"['인터넷', '내부', '동작', '이해', '초점', '인터넷', '컴퓨터네트워크프로토콜', '응용계층', '시작', '링크', '계층', 'Top-down방식', '소개', '바탕', '인터넷', '프로토콜', '실제', '구현', '프로그램', '작성', '컴퓨터네트워크프로토콜', '응용계층', '시작', '네트워크계층', 'Top-down방식', '바탕', '차세대인터넷프로토콜', '멀티미디어통신프로토콜', '프로그램', '작성', '프로토콜', '동작']",22707, 본 강의에서는 인터넷 내부의 동작을 이해하는데 초점을 둔다. 인터넷의 기본이 되는 다양한 컴퓨터네트워크 프로토콜을 응용계층으로부터 시작하여 링크계층까지 Top-down방식으로 소개한다. 이를 바탕으로 인터넷의 프로토콜을 실제 구현하기 위한 socket프로그램을 작성한다.  다양한 컴퓨터네트워크 프로토콜을 응용계층으로부터 시작하여 네트워크계층으로 Top-down방식으로 배우고 이를 바탕으로 차세대인터넷프로토콜 및 멀티미디어통신 프로토콜을 배운다. 또한 socket프로그램을 작성함으로써 강의에서 익힌 프로토콜이 실제 어떻게 동작하는가를 살펴본다. ,컴퓨터네트워크
"['기반', '창업', '기업가정신', '창업', '필요', '개념', '숙지', '아이디어', '수집', '비즈니스모델', '예상', '구현모델', '과정', '이해', '제품', '서비스', '구현', '실제', '창업', '경험', '체득', '세부', '내용', '창업프로세스', '창업', '구성', '아이디어', '개발', '시장', '기술', '조사', '비즈니스모델', '설계', '사업계획서', '작성', '제품', '서비스', '개발', '기반', '창업', '준비', '창업', '역량', '창업', '캡스톤디자인', '창업', '캡스톤디자인', '계획', '동일', '통합', '구성', '예정', '창업', '이론', '프로젝트', '실습', '중심', '진행', '창업', '동아리', '타과', '학생', '이론', '동영상', '진행', '프로젝트', '실습', '지정', '멘토', '자율', '진행', '방법', '수강', '멘토링', '팀프로젝트', '중간발표', '기말', '발표', '동영상', '창업아이디어']",22709,"본 과목에서는  SW기반의 창업과 기업가정신을 다룬다.   창업에 필요한 기본적인 개념을 숙지하고, 아이디어의 수집에서 비즈니스모델링 및 예상 구현모델까지의 과정을 이해한다.   또한, 제품 및 서비스의 구현을 통해 실제 창업에 이르는 경험을 체득하도록 한다.   세부적인 내용으로는 창업프로세스, 창업팀 구성, 아이디어 개발, 시장 및 기술조사, 비즈니스 모델 설계, 사업계획서 작성, 제품/서비스 개발 등이다.  1. 수업목표: SW/ICT 기반의 창업준비와 창업역량 함양    2. 수업안내  -SW창업캡스톤디자인2와 ICT창업캡스톤디자인2는 강의계획이 동일하며, 통합하여 팀구성 예정임  -창업관련 이론강의와 팀별 프로젝트 실습 중심으로 진행  (*창업동아리, 타과학생 참여 권장)  -이론수업은 비대면 녹화 동영상 강의로 진행함  -팀별 프로젝트 실습은 팀별로 지정하는 멘토와 함께 자율로 진행  -평가방법: 출석 40%(강의수강 및 멘토링), 팀프로젝트 50%(중간발표, 기말발표 동영상 평가), 학습참여도 10% (창업아이디어톤 참여 등)",SW창업캡스톤디자인2
"['소프트웨어학부', '심화', '문제', '해결', '산업현장', '개발', '프로젝트', '주제', '지정', '소프트웨어개발', '프로세스', '단계', '문제', '도출', '파악', '조사', '분석', '해결', '절차', '소프트웨어공학', '이론', '지식', '습득', '물론', '토론', '발표', '진행', '학생', '습득', '지식', '공유', '검토', '토론', '지식', '실질', '적용', '실습', '추가', '소프트웨어개발', '프로젝트', '단위', '진행', '개발', '단계', '요구', '요구사항', '명세서', '설계문서', '테스트', '디자인', '산출물', '개발', '마지막', '프로젝트', '총괄', '발표', '진행', '산업현장', '문제', '환경', '고려', '실질', '프로젝트', '기반', '소프트웨어', '시스템', '개발', '학술', '이론', '이해', '현실', '능력', '효과', '배양', '신뢰', '소프트웨어', '효율', '효과', '개발', '기법', '소프트웨어', '개발', '조직', '분석', '설계', '구현', '문서', '테스트', '측면', '다양', '기법', '습득', '습득', '소프트웨어개발', '기법', '적용', '사례', '기법', '기반', '개발', '도구', '사회', '거리', '두기', '단계', '기준', '대면', '병행', '아래', '운영', '이론', '동영상', '금요일', '이론', '동영상', '업로드', '문제', '해결', '활동', '실습', '차질', '진행', '문제', '해결', '활동', '실습수업', '금요일', '점심', '시간', '제외', '참고', '사회', '거리', '두기', '단계', '단계', '격상', '전면', '원격수업', '전환', '사회', '거리', '두기', '단계', '단계', '지속', '유지', '전면', '원격수업', '전환', '마찬가지', '종식', '전면', '대면', '전환', '사회', '거리', '두기', '단계', '운영', '방식', '변경', '가능']",22711,"본 교과목은 소프트웨어학부의 전공심화과목이며 IC-PBL 교과목입니다.     이 교과목에서는 산업현장의 개발 프로젝트를 주제로 지정하여 소프트웨어 개발 프로세스 단계별로 문제를 도출, 파악, 조사, 분석, 해결의 절차를 거치게 되며 이를 통하여 소프트웨어 공학의 이론적 지식습득은 물론이고 팀별 토론 및 발표를 진행함으로써 여러 학생들이 습득한 다양한 지식들을 공유 및 검토하게 된다. 또한, 본 교과목은 수업 시 토론 및 강의를 통하여 습둑한 지식을 실질적으로 적용할 수 있는 실습을 포함하고 있다. 추가적으로 소프트웨어 개발 프로젝트를 팀 단위로 진행함으로써 각 개발 단계에서 요구하는 요구사항명세서, 설계 문서, 테스트 디자인 등의 산출물 역시 개발하게 되고 마지막에는 프로젝트 총괄 발표를 진행하게 된다.  본 교과목은 산업현장의 문제와 환경을 모두 고려한 실질적 프로젝트를 기반으로 소프트웨어 시스템 개발에 대한 학술적 이론을 이해함은 물론 현실적 수행 능력을 효과적으로 배양하는 것을 목표로 한다.      1. 신뢰성 높은 소프트웨어를 효율적 그리고 효과적으로 개발하기 위한 여러 기법을 학습한다.   2. 소프트웨어를 개발하기 위한 조직, 관리, 분석, 설계, 구현, 문서화, 테스트 등 여러 측면의 다양한 기법을 습득한다.  3. 앞서 습득한 소프트웨어 개발 관련 기법을 적용한 사례와 이러한 기법을 기반으로 하는 개발 도구에 대하여 살펴본다.    본 교과목은 2021-1학기 COVID19 사회적 거리두기 1~2단계 기준에 따라 원격+대면 병행 교과목으로 아래와 같이 운영됩니다.   - 이론수업 - 녹화 동영상 강의 : 매주 금요일 09:00 ~ 11:00 혹은 12:00 (이론 동영상 강의는 한주 전에 미리 업로드 해두어 PBL활동 및 실습에 차질이 없도록 진행하겠습니다.)  - PBL 활동 및 실습수업 : 매주 금요일 11:00 혹은 13:00 ~ 15:00 (점심시간 12:00 ~ 13:00 제외)    * 참고로 코로나19의 사회적 거리두기 단계가 3단계로 격상할 경우 전면 원격 수업으로 전환됩니다.   ** 또한, 코로나19의 사회적 거리두기 단계가 2.5단계로 지속적 유지될경우 전면 원격 수업으로 전환될 수 있으며 마찬가지로 코로나19가 종식될 경우 전면 대면 수업으로 전환될 수 있는 등 코로나19 에 따른 사회적 거리두기 단계에 따라 수업 운영 방식의 변경 가능성이 있습니다.",소프트웨어공학
"['시스템프로그래머', '수준', '프로그래밍', '기술', '습득', '리눅스운영체제', '기능', '설계', '개념', '이해', '필요', '시스템', '프로그래밍', '리눅스커널', '제공', '시스템함수', '수준', '프로그램', '제작', '의미', '리눅스운영체제', '개념', '시스템함수', '세부', '동작', '시스템', '프로그래밍', '기초', '언어', '프로그래밍', '능력', '필요', '리눅스운영체제', '기능', '설계', '개념', '시작', '리눅스커널', '제공', '시스템함수', '세부', '동작', '방법', '파일', '시스템함수', '프로세스', '시스템함수', '시그널', '프로세스', '통신', '스레드', '순차', '진행', '방식', '변경', '이론', '원격수업', '진행', '중간고사', '시험', '단원', '진행', '중간고사', '대면시험', '교내', '진행', '수강', '학생', '커널', '제공', '시스템함수', '이용', '파일', '프로세스', '프로세스', '성생', '실행', '종료', '변화', '과정', '시스템함수', '시그널', '연관', '설명', '시그널', '파이프', '메시지', '세마포', '공유', '메모리', '이용', '프로세스', '통신']",22713,"시스템 프로그래머 수준의 프로그래밍 기술을 습득하기 위해서는 리눅스 운영체제의 기능과 설계 개념에 대한 이해가 필요하다.  시스템 프로그래밍이라 함은 리눅스 커널이 제공하는 시스템 함수를 사용한 저수준 프로그램 제작을 의미한다.  본 교과목을 통하여 리눅스 운영체제의 개념과 시스템 함수의 세부 동작에 대해 상세히 학습할 수 있다.  본 교과목을 잘 학습하기 위해서는 '시스템 프로그래밍 기초' 혹은 이에 준하는 C언어 프로그래밍 능력이 필요하다.  수업안내  리눅스 운영체제의 기능과 설계 개념에서 시작하여, 리눅스 커널에서 제공하는 시스템 함수의 세부적인 동작과 이를 다루는 방법에 대해 학습한다.  특히, 파일을 다루는 시스템 함수, 프로세스를 다루는 시스템 함수, 시그널, 프로세스간 통신, 스레드 등에 대해 순차적으로 학습한다.    코로나19에 따른 강의 진행 방식 변경  본 교과목은 매주 이론 강의를 녹화 강의 형태의 원격 수업으로 진행한다.  평가는 퀴즈, 중간고사, 기말고사를 통해 이루어진다.  - 퀴즈는 원격 시험 형태로서, 단원이 끝날 때마다 LMS를 통해 진행한다.  - 중간고사와 기말고사는 대면시험 형태로서, 교내에서 진행한다.    수업목표  이 과목을 수강한 후, 학생들은  - 커널에서 제공하는 시스템 함수를 이용하여 파일과 프로세스를 다룰 수 있다.  - 프로세스의 성생, 실행, 종료 등의 변화과정을 시스템 함수, 시그널 등과 연관지어 설명할 수 있다.  - 시그널, 파이프, 메시지큐, 세마포, 공유메모리 등을 이용하여 프로세스 간 통신을 처리할 수 있다.",시스템프로그래밍
